ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600085.SH,20220701,52.66,53.0,48.9,49.01,52.88,-3.87,-7.3185,270664.14,1354751.372
600085.SH,20220630,52.89,53.79,52.57,52.88,52.9,-0.02,-0.0378,75914.04,402597.686
600085.SH,20220629,54.2,54.39,52.72,52.9,54.06,-1.16,-2.1458,80316.82,429614.052
600085.SH,20220628,52.71,54.36,52.29,54.06,52.79,1.27,2.4058,95758.23,513114.78
600085.SH,20220627,53.88,53.9,52.0,52.79,52.75,0.04,0.0758,93760.61,495036.735
600085.SH,20220624,52.79,53.96,51.79,52.75,52.65,0.1,0.1899,106107.83,561019.417
600085.SH,20220623,51.5,53.06,50.7,52.65,51.17,1.48,2.8923,99972.29,519609.553
600085.SH,20220622,50.95,51.9,50.59,51.17,51.0,0.17,0.3333,101768.63,521798.184
600085.SH,20220621,51.99,53.29,50.6,51.0,52.51,-1.51,-2.8756,144496.0,745067.035
600085.SH,20220620,51.99,53.48,51.0,52.51,52.12,0.39,0.7483,104819.39,548367.456
600085.SH,20220617,51.15,52.5,49.87,52.12,51.3,0.82,1.5984,124714.76,637396.79
600085.SH,20220616,50.0,53.0,50.0,51.3,49.57,1.73,3.49,156026.93,806998.391
600085.SH,20220615,49.2,50.48,49.0,49.57,49.2,0.37,0.752,110825.96,552368.817
600085.SH,20220614,49.61,49.61,48.16,49.2,49.77,-0.57,-1.1453,86925.89,425074.797
600085.SH,20220613,46.39,50.11,46.39,49.77,46.75,3.02,6.4599,169766.35,831240.879
600085.SH,20220610,45.65,47.16,45.6,46.75,46.05,0.7,1.5201,84679.74,394628.836
600085.SH,20220609,46.68,47.66,46.01,46.05,46.72,-0.67,-1.4341,75855.2,353877.821
600085.SH,20220608,46.48,46.99,46.02,46.72,46.58,0.14,0.3006,80010.78,372132.617
600085.SH,20220607,45.8,47.18,45.61,46.58,45.9,0.68,1.4815,85590.83,397791.509
600085.SH,20220606,45.36,46.12,44.51,45.9,45.68,0.22,0.4816,86769.18,394119.281
600085.SH,20220602,45.02,45.93,44.66,45.68,45.08,0.6,1.331,77624.27,351960.245
600085.SH,20220601,46.46,46.8,44.89,45.08,46.57,-1.49,-3.1995,110300.92,500729.769
600085.SH,20220531,45.25,46.65,45.2,46.57,45.61,0.96,2.1048,107111.71,494394.173
600085.SH,20220530,44.54,46.0,44.26,45.61,44.55,1.06,2.3793,100101.13,455172.087
600085.SH,20220527,44.3,45.28,44.04,44.55,44.41,0.14,0.3152,114156.28,510525.126
600085.SH,20220526,42.9,44.98,42.57,44.41,42.56,1.85,4.3468,166558.77,732336.801
600085.SH,20220525,41.63,42.74,41.5,42.56,41.87,0.69,1.648,62912.69,265390.57
600085.SH,20220524,42.8,43.0,41.86,41.87,43.03,-1.16,-2.6958,71284.73,301736.215
600085.SH,20220523,42.67,43.3,42.38,43.03,42.6,0.43,1.0094,80370.41,345201.354
600085.SH,20220520,41.2,43.0,41.2,42.6,40.99,1.61,3.9278,125433.94,534032.187
600085.SH,20220519,40.4,41.45,40.35,40.99,41.19,-0.2,-0.4856,73604.97,301607.179
600085.SH,20220518,42.56,42.65,41.1,41.19,42.59,-1.4,-3.2872,123395.76,514130.476
600085.SH,20220517,42.54,42.78,41.7,42.59,42.54,0.05,0.1175,91638.74,388270.333
600085.SH,20220516,42.1,43.25,42.05,42.54,41.92,0.62,1.479,149227.97,638254.57
600085.SH,20220513,41.16,42.0,41.1,41.92,40.88,1.04,2.544,107242.45,446800.8
600085.SH,20220512,40.02,41.22,39.94,40.88,40.32,0.56,1.3889,79609.33,323683.33
600085.SH,20220511,40.58,41.85,40.25,40.32,40.25,0.07,0.1739,142039.5,581132.026
600085.SH,20220510,39.57,40.47,39.28,40.25,40.07,0.18,0.4492,99556.94,398220.35
